method,mean,median,std,metric
ABC,8.688888888888888,7.0,4.1749505667380795,sum_pickers
MsgPassing,7.855555555555555,7.0,3.8146998677679167,sum_pickers
AllocOnly,7.866666666666666,6.0,3.8371337617573316,sum_pickers
ABC,277.55555555555554,244.0,131.44649965731233,distance
MsgPassing,323.8888888888889,288.0,149.74776128539457,distance
AllocOnly,432.31111111111113,386.0,229.41330371209918,distance
ABC,4.634020386666666,1.5890860500000001,5.095252254117105,total_time
MsgPassing,36.466847019999996,15.54766825,57.025686829201135,total_time
AllocOnly,34.59008417222222,13.728643550000001,57.3684680134718,total_time
ABC,9.77121424201111e9,3.266162452e9,1.1271177384424314e10,total_bytes
MsgPassing,9.893407610422222e9,3.472857345e9,1.117457405003917e10,total_bytes
AllocOnly,1.0174508997455555e10,3.507647492e9,1.1515773036582832e10,total_bytes
